,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Houston Texans,4,51,1122,241,4.7,3,1,70,76,133,713,3,2,5.0,40,97,409,4,4.2,20,27,210,10,19.0,7.1,8.81
2,Seattle Seahawks,4,67,1188,265,4.5,7,0,76,101,152,829,6,7,5.1,46,101,359,0,3.6,19,29,199,11,30.4,15.2,2.92
3,Denver Broncos,4,67,1141,245,4.7,4,3,71,77,134,744,2,1,5.0,41,96,397,2,4.1,17,38,289,13,37.8,6.7,14.26
4,Los Angeles Chargers,4,71,1080,240,4.5,3,0,62,76,128,635,3,3,4.5,28,99,445,3,4.5,27,33,251,7,39.0,7.3,12.57
5,Jacksonville Jaguars,4,72,1265,248,5.1,13,4,74,93,156,934,7,9,5.7,50,85,331,1,3.9,15,19,184,9,28.9,28.9,15.28
6,Arizona Cardinals,4,74,1406,272,5.2,4,2,86,107,168,1022,5,2,5.8,56,96,384,2,4.0,19,31,315,11,40.0,7.5,-10.68
7,San Francisco 49ers,4,75,1122,244,4.6,3,3,69,84,123,660,5,0,5.2,34,116,462,2,4.0,27,28,195,8,31.0,7.1,-0.96
8,Kansas City Chiefs,4,76,1251,234,5.3,4,1,75,81,121,743,4,3,5.7,37,103,508,4,4.9,30,25,235,8,40.5,10.8,-6.21
9,Minnesota Vikings,4,80,1127,231,4.9,7,5,70,71,105,606,3,2,5.2,27,115,521,4,4.5,33,26,236,10,31.9,14.9,27.31
10,Los Angeles Rams,4,81,1138,240,4.7,7,4,72,83,125,744,5,3,5.4,37,101,394,2,3.9,27,37,280,8,35.7,16.7,8.46
11,New England Patriots,4,81,1276,228,5.6,3,0,75,89,125,966,7,3,7.2,48,93,310,2,3.3,19,32,230,8,32.5,7.5,-15.55
12,Indianapolis Colts,4,83,1279,235,5.4,6,2,80,93,140,895,8,4,6.0,46,85,384,2,4.5,25,26,229,9,37.8,16.2,-17.57
13,Green Bay Packers,4,84,1133,254,4.5,2,0,72,107,157,823,6,2,4.9,47,86,310,3,3.6,18,31,255,7,37.5,5.0,-4.42
14,Atlanta Falcons,4,86,976,208,4.7,6,3,58,60,104,540,5,3,4.7,32,94,436,2,4.6,22,25,215,4,44.7,10.5,-2.14
15,Detroit Lions,4,88,1172,230,5.1,6,3,70,74,118,796,7,3,6.0,41,98,376,4,3.8,22,21,144,7,33.3,13.3,0.90
16,Philadelphia Eagles,4,88,1333,247,5.4,5,2,79,78,137,829,5,3,5.8,33,105,504,3,4.8,32,19,168,14,43.9,12.2,-10.40
17,Buffalo Bills,4,90,1160,221,5.2,4,2,71,64,103,503,6,2,4.5,31,109,657,5,6.0,37,22,184,3,40.0,10.0,-11.70
18,Washington Commanders,4,91,1424,251,5.7,1,0,80,75,123,994,7,1,7.5,49,118,430,3,3.6,24,27,211,7,39.5,2.3,-21.55
19,Carolina Panthers,4,95,1310,225,5.8,5,1,68,73,117,793,4,4,6.7,38,106,517,5,4.9,28,33,266,2,38.5,12.8,-13.10
20,Tampa Bay Buccaneers,4,97,1091,238,4.6,2,1,72,81,126,751,6,1,5.5,46,102,340,3,3.3,17,29,264,9,37.2,4.7,3.82
21,Pittsburgh Steelers,4,98,1530,269,5.7,10,5,93,96,138,1042,7,5,6.9,50,117,488,4,4.2,37,24,220,6,40.0,22.5,-16.09
22,Las Vegas Raiders,4,99,1324,241,5.5,4,2,66,86,131,913,5,2,6.6,40,102,411,4,4.0,21,29,217,5,43.2,9.1,-9.70
23,New York Giants,4,101,1554,271,5.7,3,0,96,102,160,942,5,3,5.5,50,101,612,6,6.1,31,46,387,15,42.2,6.7,-40.72
24,Cleveland Browns,4,102,890,219,4.1,2,0,55,67,104,609,8,2,5.3,33,104,281,2,2.7,15,33,171,7,35.6,4.4,10.72
25,Chicago Bears,4,117,1518,226,6.7,9,2,79,84,114,860,10,7,7.2,40,107,658,4,6.1,32,20,139,7,43.5,19.6,-27.53
26,Miami Dolphins,4,118,1515,239,6.3,3,3,91,83,107,883,7,0,7.7,47,124,632,5,5.1,36,32,256,8,61.8,5.9,-58.45
27,Cincinnati Bengals,4,119,1591,279,5.7,5,0,94,100,153,1048,8,5,6.6,55,120,543,5,4.5,31,33,285,8,40.9,11.4,-36.32
28,New York Jets,4,120,1321,245,5.4,,0,82,73,111,799,7,0,6.8,47,128,522,4,4.1,23,30,259,12,54.8,0.0,-37.09
29,Tennessee Titans,4,120,1474,248,5.9,5,2,84,88,126,908,6,3,7.0,40,118,566,7,4.8,32,20,147,12,48.8,9.3,-38.79
30,New Orleans Saints,4,121,1296,240,5.4,3,2,84,79,111,821,9,1,6.7,47,118,475,4,4.0,26,33,219,11,48.8,7.3,-33.11
31,Dallas Cowboys,4,132,1682,263,6.4,2,1,93,99,135,1189,10,1,8.5,48,123,493,6,4.0,38,36,364,7,56.1,4.9,-75.69
32,Baltimore Ravens,4,133,1627,286,5.7,2,1,94,106,159,1062,9,1,6.5,54,123,565,7,4.6,36,24,188,4,53.3,4.4,-47.14
,Avg Team,,93.0,1291.1,244.5,5.3,4.5,1.7,76.9,84.6,129.5,831.1,6.1,2.8,6.0,42.4,105.9,460.0,3.6,4.3,26.1,28.7,231.6,8.3,40.1,10.1,-13.4
,League Total,,2977,41316,7823,5.3,143,55,2461,2706,4144,26596,195,88,6.0,1358,3390,14720,114,4.3,836,918,7412,267,40.1,10.1,
,Avg Tm/G,,23.3,322.8,61.1,5.3,1.1,0.4,19.2,21.1,32.4,207.8,1.5,0.7,6.0,10.6,26.5,115.0,0.9,4.3,6.5,7.2,57.9,2.1,40.1,10.1,
