Team,PF,Yards,Passing Yards,Passing TD,Rushing Yards,Rushing TD,PF_Rank,Yards_Rank,Passing Yards_Rank,Passing TD_Rank,Rushing Yards_Rank,Rushing TD_Rank
Detroit Lions,33.2,409.5,263.2,2.29,146.4,1.71,1,2,2,4,6,2
Buffalo Bills,30.9,359.1,227.9,1.76,131.2,1.88,2,10,9,7,9,1
Baltimore Ravens,30.5,424.9,237.4,2.41,187.6,1.24,3,1,7,2,1,6
Tampa Bay Buccaneers,29.5,399.6,250.4,2.41,149.2,0.94,4,3,3,2,4,14
Washington Commanders,28.5,369.6,215.6,1.71,154.1,1.47,5,6,17,9,3,4
Cincinnati Bengals,27.8,365.5,272.9,2.53,92.6,0.65,6,8,1,1,30,26
Philadelphia Eagles,27.2,367.2,187.9,1.41,179.3,1.71,7,7,29,12,2,2
Green Bay Packers,27.1,380.1,223.9,1.65,146.8,1.35,8,4,13,10,5,5
Minnesota Vikings,25.4,346.9,237.8,2.06,109.1,0.53,9,12,6,5,19,29
Denver Broncos,25.0,324.6,212.4,1.76,112.2,0.71,10,21,20,7,16,23
Los Angeles Chargers,23.6,324.2,213.5,1.35,110.7,1.0,11,22,19,14,17,12
Arizona Cardinals,23.5,358.2,214.1,1.24,144.2,1.06,12,11,18,22,7,9
Atlanta Falcons,22.9,369.8,239.3,1.24,130.5,1.06,13,5,5,22,10,9
San Francisco 49ers,22.9,363.6,249.1,1.35,127.2,1.0,13,9,4,14,12,12
Kansas City Chiefs,22.6,327.6,222.4,1.53,105.3,0.88,15,17,14,11,22,16
Pittsburgh Steelers,22.4,319.4,192.0,1.24,127.4,0.82,16,23,27,22,11,19
Indianapolis Colts,22.2,334.8,197.7,1.18,137.1,1.18,17,13,25,26,8,7
Seattle Seahawks,22.1,332.2,236.5,1.24,95.7,1.0,18,14,8,22,28,12
Houston Texans,21.9,332.2,207.4,1.18,112.3,0.88,19,14,21,26,15,16
Los Angeles Rams,21.6,331.4,227.5,1.29,103.8,0.88,20,16,10,17,24,16
Dallas Cowboys,20.6,327.5,227.2,1.35,100.3,0.35,21,18,11,14,27,32
Miami Dolphins,20.3,325.4,219.8,1.29,105.6,0.71,22,20,15,17,21,23
Carolina Panthers,20.1,298.0,187.5,1.29,110.5,1.06,23,30,30,17,18,9
New Orleans Saints,19.9,327.0,205.2,1.24,114.9,0.88,24,19,23,22,14,16
New York Jets,19.9,310.3,218.5,1.82,91.8,0.47,24,24,16,6,31,30
Jacksonville Jaguars,18.8,306.2,204.5,1.12,101.7,0.76,26,25,24,29,26,21
Tennessee Titans,18.3,304.2,195.1,1.29,109.1,0.65,27,27,26,17,19,26
Chicago Bears,18.2,283.5,181.5,1.18,102.0,0.76,28,32,31,26,25,21
Las Vegas Raiders,18.2,303.2,225.4,1.12,78.8,0.59,28,28,12,29,32,28
New England Patriots,17.0,304.4,176.2,1.06,115.8,0.65,30,26,32,31,13,26
New York Giants,16.1,294.8,189.9,0.88,104.9,0.76,31,31,28,32,23,21
Cleveland Browns,15.2,300.8,206.2,1.12,94.6,0.47,32,29,22,29,29,30
